"id","is_oreb","team","opponent","conference","opp_conference"
"44-50",0,"Creighton","BYU","BigEast","WestCoast"
"44-51",0,"Creighton","BYU","BigEast","WestCoast"
"44-52",0,"BYU","Creighton","WestCoast","BigEast"
"44-53",1,"BYU","Creighton","WestCoast","BigEast"
"44-56",1,"BYU","Creighton","WestCoast","BigEast"
"44-57",0,"Creighton","BYU","BigEast","WestCoast"
"44-58",0,"Creighton","BYU","BigEast","WestCoast"
"44-60",0,"Creighton","BYU","BigEast","WestCoast"
"44-61",0,"Creighton","BYU","BigEast","WestCoast"
"44-62",1,"Creighton","BYU","BigEast","WestCoast"
"44-64",1,"BYU","Creighton","WestCoast","BigEast"
"44-65",0,"Creighton","BYU","BigEast","WestCoast"
"45-1",0,"Illinois","Penn St.","BigTen","BigTen"
"45-3",0,"Penn St.","Illinois","BigTen","BigTen"
"45-4",0,"Illinois","Penn St.","BigTen","BigTen"
"45-5",0,"Penn St.","Illinois","BigTen","BigTen"
"45-6",0,"Illinois","Penn St.","BigTen","BigTen"
"45-7",0,"Penn St.","Illinois","BigTen","BigTen"
"45-8",0,"Penn St.","Illinois","BigTen","BigTen"
"45-10",0,"Illinois","Penn St.","BigTen","BigTen"
"45-11",0,"Penn St.","Illinois","BigTen","BigTen"
"45-12",0,"Penn St.","Illinois","BigTen","BigTen"
"45-16",0,"Illinois","Penn St.","BigTen","BigTen"
"45-18",1,"Illinois","Penn St.","BigTen","BigTen"
"45-20",1,"Illinois","Penn St.","BigTen","BigTen"
"45-21",0,"Illinois","Penn St.","BigTen","BigTen"
"45-22",0,"Penn St.","Illinois","BigTen","BigTen"
"45-23",0,"Illinois","Penn St.","BigTen","BigTen"
"45-24",0,"Penn St.","Illinois","BigTen","BigTen"
"45-25",0,"Illinois","Penn St.","BigTen","BigTen"
"45-27",0,"Penn St.","Illinois","BigTen","BigTen"
"45-28",0,"Penn St.","Illinois","BigTen","BigTen"
"45-29",0,"Illinois","Penn St.","BigTen","BigTen"
"45-31",0,"Illinois","Penn St.","BigTen","BigTen"
"45-32",0,"Illinois","Penn St.","BigTen","BigTen"
"45-33",0,"Illinois","Penn St.","BigTen","BigTen"
"45-34",0,"Illinois","Penn St.","BigTen","BigTen"
"45-35",0,"Illinois","Penn St.","BigTen","BigTen"
"45-36",0,"Penn St.","Illinois","BigTen","BigTen"
"45-38",0,"Penn St.","Illinois","BigTen","BigTen"
"45-39",1,"Penn St.","Illinois","BigTen","BigTen"
"45-40",0,"Penn St.","Illinois","BigTen","BigTen"
"45-42",1,"Penn St.","Illinois","BigTen","BigTen"
"45-43",1,"Illinois","Penn St.","BigTen","BigTen"
"45-44",0,"Penn St.","Illinois","BigTen","BigTen"
"45-45",0,"Penn St.","Illinois","BigTen","BigTen"
"45-46",0,"Illinois","Penn St.","BigTen","BigTen"
"45-47",0,"Penn St.","Illinois","BigTen","BigTen"
"45-50",0,"Penn St.","Illinois","BigTen","BigTen"
"46-2",0,"UNLV","Washington St.","MWC","PAC 12"
"46-5",0,"UNLV","Washington St.","MWC","PAC 12"
"46-6",0,"Washington St.","UNLV","PAC 12","MWC"
"46-7",1,"Washington St.","UNLV","PAC 12","MWC"
"46-8",1,"Washington St.","UNLV","PAC 12","MWC"
"46-9",0,"UNLV","Washington St.","MWC","PAC 12"
"46-10",0,"UNLV","Washington St.","MWC","PAC 12"
"46-11",0,"UNLV","Washington St.","MWC","PAC 12"
"46-13",0,"UNLV","Washington St.","MWC","PAC 12"
"46-15",1,"Washington St.","UNLV","PAC 12","MWC"
"46-16",1,"Washington St.","UNLV","PAC 12","MWC"
"46-17",1,"UNLV","Washington St.","MWC","PAC 12"
"46-19",0,"UNLV","Washington St.","MWC","PAC 12"
"46-20",0,"Washington St.","UNLV","PAC 12","MWC"
"46-21",0,"Washington St.","UNLV","PAC 12","MWC"
"46-23",0,"UNLV","Washington St.","MWC","PAC 12"
"46-24",1,"UNLV","Washington St.","MWC","PAC 12"
"46-25",0,"UNLV","Washington St.","MWC","PAC 12"
"46-26",0,"Washington St.","UNLV","PAC 12","MWC"
"46-29",1,"UNLV","Washington St.","MWC","PAC 12"
"46-30",0,"UNLV","Washington St.","MWC","PAC 12"
"46-31",0,"UNLV","Washington St.","MWC","PAC 12"
"46-34",1,"Washington St.","UNLV","PAC 12","MWC"
"46-35",0,"Washington St.","UNLV","PAC 12","MWC"
"46-36",0,"UNLV","Washington St.","MWC","PAC 12"
"46-37",0,"Washington St.","UNLV","PAC 12","MWC"
"46-41",0,"Washington St.","UNLV","PAC 12","MWC"
"46-42",1,"Washington St.","UNLV","PAC 12","MWC"
"46-43",0,"Washington St.","UNLV","PAC 12","MWC"
"47-1",1,"Marquette","Notre Dame","BigEast","ACC"
"47-2",0,"Marquette","Notre Dame","BigEast","ACC"
"47-4",0,"Marquette","Notre Dame","BigEast","ACC"
"47-6",0,"Marquette","Notre Dame","BigEast","ACC"
"47-7",0,"Marquette","Notre Dame","BigEast","ACC"
"47-8",1,"Notre Dame","Marquette","ACC","BigEast"
"47-9",1,"Notre Dame","Marquette","ACC","BigEast"
"47-10",0,"Notre Dame","Marquette","ACC","BigEast"
"47-11",0,"Marquette","Notre Dame","BigEast","ACC"
"47-12",0,"Notre Dame","Marquette","ACC","BigEast"
"47-14",1,"Notre Dame","Marquette","ACC","BigEast"
"47-16",1,"Notre Dame","Marquette","ACC","BigEast"
"47-18",1,"Marquette","Notre Dame","BigEast","ACC"
"47-20",1,"Marquette","Notre Dame","BigEast","ACC"
"47-21",0,"Notre Dame","Marquette","ACC","BigEast"
"47-22",0,"Marquette","Notre Dame","BigEast","ACC"
"47-23",0,"Notre Dame","Marquette","ACC","BigEast"
"47-25",1,"Notre Dame","Marquette","ACC","BigEast"
"47-26",1,"Marquette","Notre Dame","BigEast","ACC"
"47-30",0,"Notre Dame","Marquette","ACC","BigEast"
"47-31",0,"Notre Dame","Marquette","ACC","BigEast"
"47-32",0,"Marquette","Notre Dame","BigEast","ACC"
"47-33",0,"Marquette","Notre Dame","BigEast","ACC"
"47-34",1,"Marquette","Notre Dame","BigEast","ACC"
"47-38",0,"Notre Dame","Marquette","ACC","BigEast"
"47-40",0,"Marquette","Notre Dame","BigEast","ACC"
"47-41",1,"Notre Dame","Marquette","ACC","BigEast"
"47-42",0,"Notre Dame","Marquette","ACC","BigEast"
"47-43",0,"Marquette","Notre Dame","BigEast","ACC"
"47-44",0,"Marquette","Notre Dame","BigEast","ACC"
"47-45",0,"Marquette","Notre Dame","BigEast","ACC"
"47-46",0,"Notre Dame","Marquette","ACC","BigEast"
"47-48",1,"Marquette","Notre Dame","BigEast","ACC"
"47-50",1,"Marquette","Notre Dame","BigEast","ACC"
"47-51",0,"Notre Dame","Marquette","ACC","BigEast"
"47-52",1,"Marquette","Notre Dame","BigEast","ACC"
"47-53",0,"Notre Dame","Marquette","ACC","BigEast"
"47-54",0,"Notre Dame","Marquette","ACC","BigEast"
"47-55",0,"Marquette","Notre Dame","BigEast","ACC"
"47-56",0,"Notre Dame","Marquette","ACC","BigEast"
"48-1",0,"Tennessee","Maryland","SEC","BigTen"
"48-2",0,"Maryland","Tennessee","BigTen","SEC"
"48-3",0,"Tennessee","Maryland","SEC","BigTen"
"48-4",1,"Tennessee","Maryland","SEC","BigTen"
"48-6",0,"Maryland","Tennessee","BigTen","SEC"
"48-7",0,"Tennessee","Maryland","SEC","BigTen"
"48-10",0,"Maryland","Tennessee","BigTen","SEC"
"48-11",0,"Maryland","Tennessee","BigTen","SEC"
"48-12",1,"Tennessee","Maryland","SEC","BigTen"
"48-13",0,"Tennessee","Maryland","SEC","BigTen"
"48-14",0,"Maryland","Tennessee","BigTen","SEC"
"48-15",0,"Tennessee","Maryland","SEC","BigTen"
"48-16",0,"Maryland","Tennessee","BigTen","SEC"
"48-18",0,"Tennessee","Maryland","SEC","BigTen"
"48-19",1,"Maryland","Tennessee","BigTen","SEC"
"48-20",0,"Maryland","Tennessee","BigTen","SEC"
"48-21",0,"Maryland","Tennessee","BigTen","SEC"
"48-23",1,"Tennessee","Maryland","SEC","BigTen"
"48-24",1,"Tennessee","Maryland","SEC","BigTen"
"48-25",0,"Maryland","Tennessee","BigTen","SEC"
"48-26",1,"Maryland","Tennessee","BigTen","SEC"
"48-27",0,"Tennessee","Maryland","SEC","BigTen"
"48-28",0,"Tennessee","Maryland","SEC","BigTen"
"48-29",0,"Maryland","Tennessee","BigTen","SEC"
"48-30",0,"Maryland","Tennessee","BigTen","SEC"
"48-31",0,"Tennessee","Maryland","SEC","BigTen"
"48-32",0,"Maryland","Tennessee","BigTen","SEC"
"48-33",1,"Tennessee","Maryland","SEC","BigTen"
"48-34",1,"Maryland","Tennessee","BigTen","SEC"
"48-35",0,"Maryland","Tennessee","BigTen","SEC"
"48-38",1,"Tennessee","Maryland","SEC","BigTen"
"48-40",0,"Maryland","Tennessee","BigTen","SEC"
"48-41",1,"Tennessee","Maryland","SEC","BigTen"
"48-43",1,"Tennessee","Maryland","SEC","BigTen"
"48-44",0,"Tennessee","Maryland","SEC","BigTen"
"48-45",0,"Tennessee","Maryland","SEC","BigTen"
"48-48",0,"Maryland","Tennessee","BigTen","SEC"
"48-49",0,"Tennessee","Maryland","SEC","BigTen"
"48-50",0,"Maryland","Tennessee","BigTen","SEC"
"48-51",0,"Maryland","Tennessee","BigTen","SEC"
"48-52",0,"Tennessee","Maryland","SEC","BigTen"
"48-54",1,"Tennessee","Maryland","SEC","BigTen"
"48-55",0,"Tennessee","Maryland","SEC","BigTen"
"48-58",0,"Tennessee","Maryland","SEC","BigTen"
"48-59",0,"Maryland","Tennessee","BigTen","SEC"
"48-62",0,"Tennessee","Maryland","SEC","BigTen"
"48-64",1,"Tennessee","Maryland","SEC","BigTen"
"48-65",1,"Tennessee","Maryland","SEC","BigTen"
"48-66",0,"Tennessee","Maryland","SEC","BigTen"
"48-69",1,"Tennessee","Maryland","SEC","BigTen"
"48-71",1,"Maryland","Tennessee","BigTen","SEC"
"48-72",0,"Maryland","Tennessee","BigTen","SEC"
"49-3",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-5",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-6",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-8",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-9",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-10",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-13",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-14",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-15",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-16",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-17",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-21",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-22",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-23",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-24",1,"Creighton","Arizona St.","BigEast","PAC 12"
"49-25",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-27",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-28",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-29",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-31",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-32",1,"Creighton","Arizona St.","BigEast","PAC 12"
"49-33",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-35",1,"Creighton","Arizona St.","BigEast","PAC 12"
"49-36",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-37",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-38",1,"Creighton","Arizona St.","BigEast","PAC 12"
"49-39",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-40",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-41",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-42",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-43",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-44",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-46",1,"Creighton","Arizona St.","BigEast","PAC 12"
"49-47",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-48",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-49",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-50",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-52",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-54",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-55",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-57",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-58",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-61",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-62",1,"Arizona St.","Creighton","PAC 12","BigEast"
"49-66",0,"Creighton","Arizona St.","BigEast","PAC 12"
"49-68",0,"Arizona St.","Creighton","PAC 12","BigEast"
"49-69",1,"Creighton","Arizona St.","BigEast","PAC 12"
"50-1",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-2",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-3",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-4",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-5",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-6",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-7",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-8",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-9",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-10",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-13",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-16",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-17",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-19",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-20",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-21",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-23",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-24",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-26",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-27",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-28",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-30",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-31",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-32",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-33",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-34",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-35",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-36",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-38",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-39",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-40",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-41",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-43",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-44",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-45",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-47",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-48",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-49",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-50",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-51",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-52",1,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-55",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-57",1,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-58",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"50-59",0,"Gonzaga","Northern Illinois","WestCoast","Mid American"
"50-60",0,"Northern Illinois","Gonzaga","Mid American","WestCoast"
"51-1",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-2",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-3",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-4",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-5",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-6",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-7",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-9",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-10",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-11",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-12",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-17",1,"Memphis","Alabama","American Athletic Conference","SEC"
"51-19",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-20",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-21",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-23",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-25",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-26",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-27",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-29",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-30",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-32",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-33",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-34",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-35",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-37",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-39",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-41",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-42",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-43",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-44",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-46",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-47",1,"Memphis","Alabama","American Athletic Conference","SEC"
"51-48",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-49",1,"Memphis","Alabama","American Athletic Conference","SEC"
"51-50",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-51",1,"Memphis","Alabama","American Athletic Conference","SEC"
"51-52",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-53",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-54",0,"Alabama","Memphis","SEC","American Athletic Conference"
"51-58",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-59",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-60",1,"Alabama","Memphis","SEC","American Athletic Conference"
"51-62",1,"Memphis","Alabama","American Athletic Conference","SEC"
"51-63",0,"Memphis","Alabama","American Athletic Conference","SEC"
"51-64",1,"Memphis","Alabama","American Athletic Conference","SEC"
"52-1",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-2",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-4",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-6",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-7",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-9",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-11",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-12",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-14",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-16",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-17",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-18",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-19",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-20",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-21",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-23",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-24",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-25",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-26",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-28",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-29",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-30",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-31",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-32",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-33",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-34",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-35",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-38",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-39",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-40",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-41",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-42",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-43",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-44",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-45",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-46",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-50",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-51",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-52",0,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-54",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-56",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-57",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-58",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-59",1,"Arizona","Texas A&M Corpus Chris","PAC 12","SouthLand"
"52-60",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-62",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-63",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-65",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-66",0,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"52-68",1,"Texas A&M Corpus Chris","Arizona","SouthLand","PAC 12"
"53-2",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-3",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-4",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-6",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-8",1,"Auburn","Georgia St.","SEC","SunBelt"
"53-10",1,"Auburn","Georgia St.","SEC","SunBelt"
"53-11",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-15",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-16",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-17",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-18",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-19",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-22",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-23",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-25",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-26",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-27",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-28",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-30",1,"Auburn","Georgia St.","SEC","SunBelt"
"53-31",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-32",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-33",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-35",0,"Auburn","Georgia St.","SEC","SunBelt"
"53-36",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-37",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-38",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-39",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-40",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-41",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-42",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-43",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-46",0,"Georgia St.","Auburn","SunBelt","SEC"
"53-47",1,"Georgia St.","Auburn","SunBelt","SEC"
"53-48",1,"Georgia St.","Auburn","SunBelt","SEC"
"54-1",0,"Florida","Ohio","SEC","Mid American"
"54-2",0,"Ohio","Florida","Mid American","SEC"
"54-3",0,"Florida","Ohio","SEC","Mid American"
"54-4",0,"Ohio","Florida","Mid American","SEC"
"54-5",0,"Ohio","Florida","Mid American","SEC"
"54-6",0,"Ohio","Florida","Mid American","SEC"
"54-8",0,"Ohio","Florida","Mid American","SEC"
"54-9",0,"Ohio","Florida","Mid American","SEC"
"54-10",0,"Florida","Ohio","SEC","Mid American"
"54-11",0,"Ohio","Florida","Mid American","SEC"
"54-12",1,"Ohio","Florida","Mid American","SEC"
"54-13",0,"Ohio","Florida","Mid American","SEC"
"54-17",0,"Florida","Ohio","SEC","Mid American"
"54-18",1,"Ohio","Florida","Mid American","SEC"
"54-19",0,"Ohio","Florida","Mid American","SEC"
"54-20",0,"Ohio","Florida","Mid American","SEC"
"54-21",0,"Ohio","Florida","Mid American","SEC"
"54-23",0,"Florida","Ohio","SEC","Mid American"
"54-24",0,"Ohio","Florida","Mid American","SEC"
"54-25",0,"Ohio","Florida","Mid American","SEC"
"54-27",0,"Ohio","Florida","Mid American","SEC"
"54-30",0,"Ohio","Florida","Mid American","SEC"
"54-31",0,"Ohio","Florida","Mid American","SEC"
"54-32",0,"Ohio","Florida","Mid American","SEC"
"54-34",1,"Florida","Ohio","SEC","Mid American"
"54-35",0,"Florida","Ohio","SEC","Mid American"
"54-36",0,"Ohio","Florida","Mid American","SEC"
"54-38",0,"Ohio","Florida","Mid American","SEC"
"54-40",0,"Florida","Ohio","SEC","Mid American"
"54-42",0,"Ohio","Florida","Mid American","SEC"
"54-43",0,"Ohio","Florida","Mid American","SEC"
"54-44",1,"Florida","Ohio","SEC","Mid American"
"54-45",0,"Florida","Ohio","SEC","Mid American"
"54-46",0,"Florida","Ohio","SEC","Mid American"
"54-47",0,"Ohio","Florida","Mid American","SEC"
"54-48",0,"Ohio","Florida","Mid American","SEC"
"54-49",0,"Ohio","Florida","Mid American","SEC"
"54-50",0,"Florida","Ohio","SEC","Mid American"
"54-53",1,"Florida","Ohio","SEC","Mid American"
"55-2",0,"Mississippi St.","Jackson St.","SEC","SWAC"
"55-3",0,"Mississippi St.","Jackson St.","SEC","SWAC"
"55-7",0,"Jackson St.","Mississippi St.","SWAC","SEC"
"55-8",0,"Mississippi St.","Jackson St.","SEC","SWAC"
"55-9",1,"Jackson St.","Mississippi St.","SWAC","SEC"
"55-10",1,"Jackson St.","Mississippi St.","SWAC","SEC"
"55-11",1,"Jackson St.","Mississippi St.","SWAC","SEC"
